,lista
284,"@Maceji87 sorry x el delay, pero el app arranca cuando quiere...Abrimos de Lunes a Sábado a las 6pm"
285,Escucho a @HillaryClinton porque no me aguanté y no puedo creer aún que hayan elegido sobre ella a @realDonaldTrump Es realmente triste.
286,@piladetrastos @tsaitami porque al final siempre llegan a lo mismo: es que ella debió asumir más su lado femenino
287,No es posible que Trump vaya ganando las elecciones y que yo aún no me gane una pizza de @OterosPizza. ¡¿Qué es esto?!
288,@SalgueroMoya por cada acción cometió como 4 delitos a la vez. Eso se llama concurso ideal. O material. Ya no me acuerdo
289,@RacheliuxCastro @jkriptos tenemos pendiente un vacío whisky y habanos. Como que este fin complicado
290,Bill Clinton ya está muy viejito
291,@dianalaa32 Es una escena de uno de los documentales más respetados sobre naturaleza ('Planet Earth' de la BBC). Dudo que sea montado.
292,Hoy es un buen diaaaa
293,Ya no es tan divertido
294,"Necesito plata, mi regalo de cumpleaños no alcanzó para la ropa de navidad y año nuevo"
295,"Yo quiero enseñar mis bolas en facebook, pero su política de desnudos es muy estricta. Mejor no."
296,@saywhatmini Hermosa verdad? ️ Me toca quitarlas porque no puedo mostrar caras
297,Vean los nuevos emojis #iOS102 El aguacate 🥑
298,Tan triste mi vida que me hablan en Snapchat solo para decirme que mis animales son lindos
299,"@ChicadeHumo7 , no hay que sentirse mal por ya no querer creo que es bueno saber lo que uno quiere y lo que no"
300,Estornudé y me mordí la lengua porque mi suerte es así
301,"Ya 3 veces me ha dejado mamando, pero la verdad lo veo tan guapo..."
302,"Suerte nivel, llame a la pizzeria para pasar por una pizza y llueve cuando deje mis sombrilla perdidas"
303,Estoy así de hacer una estupidez
304,Les parece que soy una persona odiosa? a cada rato me dicen eso y que tengo cara de amargado
305,El huequito del septum no se me ha cerrado por completo pero ya no me cabe la pieza
306,@elinvisiblesoyo jajaja aquí la confianza virtual
307,@deprotti la ex novia de 30 vrs Sabina para finalmente aceptar que estas viejo
308,"...y todo lo que hagan, háganlo con amor. 1 Corintios 16:14 Buen dia a todos"
309,Buenos días @Rubiu5 que pases un buen día
310,Me estaba sacando las cejas y como se me ocurren cosas geniales decidí arrancarme una pestaña y ahora me duele el párpado y se hinchó
311,Las canciones de Juanes y Julieta Venegas siempre me hacen muy feliz
312,"Viendo FOX pasan portadas de periódicos deportivos solo en CRC no, porque no tenemos periódicos deportivos"
313,"@avargas10785 yo hago eso, sino nadie contesta, así ven que no es mi culpa que no se muevan las cosas, perdón por vivir"
314,@edgumaco yo siempre deseo eso y cuando estoy libre;como hoy> ando desde temprano dando vueltas y sin sueño
315,"Ya no tengo libro para leer ni serie para ver, mis noches se están volviendo aburridas"
316,"Mi imposible quiere irse a Europa. Yo tenía pequeñas esperanzas sabiendo que era imposible, pero ahora se las lleva para Europa"
317,"@David_Gato5 Mae esque mi top 3 son Dez Bryant, A. Brown y OBJ La de Zek viene de cuarta"
318,@demimendozaa Obvio ya quiero llegar y verte Así que de una vez organiza Ixma
319,"@Residente y fui a buscarte xq habías agarrado x otra calle, venias hacer un concierto, y bueno pues te encontré al final! Jeje saludos"
320,"@Valavb así es, aquí estamos pasando algo similar en estos días"
321,"@andrest_12 ahh ya ya jajaja. Bueno, buenas noches, que descanse"
322,"@tigreshooligan ay tan lindo amigo!! Gracias. Espero que jueguen con rencor, porque se hacen imparables cuando están resentidos"
323,"@ticotraveleando ingrato, solo porque usted sí"
324,@Zunga a mi solo me quedan 5...ya casi veo la Luz
325,Ay qué bonito todo! Demasiado extraño no estar sufriendo a estas alturas Vamos Seleeeeee
326,@LovatoMyLight jajaja exacto! Esta todo igual solo que mas serio pero nada de declaraciones aun. Solo que siempre nos decimos asi.
327,Mi familia ya empezó con villancicos a todo volumen 24/7 y yo que tenia mi musica puesta y me la quitaron
328,"@stephvald callese mae jajajaja, el carro estaba bastante duro mae Jaja"
329,Lo malo de las indirectas esque son como un chisme pero a medias! Y así no se puede..
330,El otro año va a ser diferente y tiene que ser diferente
331,@AndresCastg verdad? Que triste que se haya llegado a ese punto
332,La vara es que odio las materias teóricas y amo cocinar
333,Mami va a bajar la velocidad del internet pero mejor eso a que lo quite
334,Hoy me desvelo de nuevo
335,Mi papá emocionado hasta las lágrimas con los tenores... hay conciertos que se quedan en el alma para siempre.
336,Me gusto mucho #AHSRoanoke fue una temporada muy buena y mucho miedo pero corta ya estoy ansiosa por la temporada 7️
337,"@Alejandro__Ge hay que pulsearla bastante, lo he intentado un par de veces y nada Pero que buena foto mae."
338,@AdriantixYT yo talvez no vuelva a yt por asuntos personales
339,@EdySmol Me encanta que resaltes la moda sin ser superficial sino siendo un excelente crítico! Saludos desde Costa Rica!
340,Lela me escribe Yo le respondo Lela me deja en gris
341,"@nathy_ab Tome un descanso y apenas esté de nuevo al 100% vamos a Dairy Queen, esta bien?"
342,@EdySmol Correcto! Es pura arte. Mejor no lo pudiste describir. Felicidades!!! Bendiciones!
343,Nadie quiere ir a tomar café conmigo
344,"@HolaSoyBataa Pero interrumpiste en mi sueño, perdí el sueño en ese momento y gracias a ti no fui a trabajar porque me quede dormida"
345,"Que bonito es anunciar que los excedentes de la Asociación Solidarista, ya estan depositados"
346,"Aún no puedo salir de la U porque la tarifa de Uber está alta, me escupo"
347,@wheeeing lo mejor es que no sé ni que voy a estudiar
348,"@Kengope oh, yo es que estaba curioso de Google Play Music. Apple Music no me sirve"
349,Estos #CinnamonRolls traen muchas pasas... puro sabor a #Navidad!!! #ProsanaFoods #EstaciónGourmet
350,"@cinn_gc10 Un chivi que hace videos y es más tocándose el cabello que video haciendo ""algo divertido o entretenido""."
351,"@itsshirrley hizo un tiempazo en una ruta desafiante, ¡felicidades! Es muy muy campeona ️"
352,Me hice un sándwich. En vez de queso le puse leche condensada y aún así lo puse a tostar
353,En Face Oswar me deja claro que no soy su amiga
354,@_void07 ¡CALMA PUEBLO! Todo va estar bien. Solo vaya presente todo y haga su fucking examen tranquilo.
355,"Este año más que otros ocupo trabajar esta temporada navideña, ocupo plataaaaaa! Si alguien sabe de algo me avisa"
356,@kabek Y suuuuper diferente a sus trabajos anteriores! Tengo que comprarlo tho porque no esta disponible en apple music
357,"Me gusta el rumbo que mi vida esta llevando, me siento tranquila y contenta conmigo misma"
358,Lo peor de recibir clases en un restaurante es el fuerte olor a comida y el hambre que me tengo.
359,"Que ladilla, yo soy chevere"
360,Solo actividades de mi interés me hacen levantarme a las 4am de menos jamás en la vida.
361,Después de una semana comiendo en México a un precio ridículo... lo último q haría es ir a la Feria Gasto-nómica #lluviaencasa
362,Hoy nos tocó de últimos en el Festival Navideño de PZ y lloviendo. Adivinen cómo quedé.
363,Ya cambiaron al modelo d Paco Rabane. el que estaba antes era un muñequito yico.
364,Extraño mis siestas de todaaaa la tarde
365,@vivihbena ahhh pero ahí estaban las rubias -.- jajaja ( que mal que no se te quite)
366,@gpenavalle De las impotencias más grandes. Entiende uno qué significa la resignación
367,No sabía que el amor de mi vida iba a cantar. Hubiese visto el programa.
368,@Kevoludo24 todo está súper barato porque casi nadie fue el festival.
369,Ahora sí es oficial... tengo el trabajo más chiva que podía pedir
370,"@vikyro18 sii claroo, en play 3 podés comprarlo por 5 dolares. Pero ya en ps4 no"
371,Qué feo es tener que terminar con alguien; y más cuando las dos personas aún se aman pero el entorno no es favorable.
372,Ayer fui a @subwaycr y aún no estaban listos para recibir donaciones de puntos
373,Casi me aplasta un árbol pero lo bueno es que en la casa ya llegó la Navidá
374,"@rafa514x te creo, solo ganas de trollear"
375,- se llevo los doritos y los frescos - pero no se llevo EL PAN @MarianaCruz04
376,La lluvia definitivo que no me tiee piedad cuando ando en bus
377,Odio a mi profesor de estudios sociales
378,Que asco spotify desde la compu
379,"@FedeOrtegaV Ojalá lo consiga, pero también ojalá la empresa del concierto le dé otra como sorpresa o algo así"
380,Me gusta dar los buenos días BUENOS DÍAAAAS!
381,@laqvienedelsol @PilarAcuna Yo la dejé como 3 años y ahora volví. El día que termine del todo empezaré un largo duelo
382,@elchamuko me alegro milord! Feliz regreso a su casa en el averno!
383,Lunes con L de Lindo! Gracias Dios por el trabajo
384,"@Mariete772 igual estaba en exámenes finales y estuve muy inactivo, espero volver a la normalidad de ahora en adelante"
385,@lawanddemons perdón por ser la peor prometo darle mucho amor comprensión y ternura apenas termine el semestre
386,"Hoy hice todo de una manera olímpica, pero algo se me tenía que olvidar. ¡Ah sí! La sombrilla."
387,"@Vane_Arcia Sí, era justo y necesario. Lo hice y me siento mejor"
388,"@Noy_07 Pues de hecho sí me funcionó, me siento más tranquila después de eso"
389,"@MonumentalCR Buenos días, un éxito su maratonica, yo me sumé y sé que van a llevar mucha alegría a personas que están sufriendo"
390,"@croq29 @ChisteTipico me ha pasado... Lo peor es cuando sin decirle nada a uno, lo agregan de nuevo jajajaja"
391,Preferiría discutir con un umpalumpa que con un (a) cristiano (a) conservador (a) de derecha.
392,@ashzamc Chao con ud!!! En serio no te puedo
393,@MarcosPedzik Muchas gracias por tus palabras. Un fuerte abrazo para vos
394,Cansado es poco. Pero saber que hoy se ayudó en algo me hace feliz.
395,@ASuicideBoy me siento muy identificada con tus tweet y vi tu cuenta porque mi mejor amiga aveces da rt a tus cosas
396,"@CamposGeovanni en eso estamos claros, pero yo tengo fe en que los ticos somos solidarios cuando mas se necesita"
397,Mi mejor amigo me llamo que ya venía llegando a mi casa Tengo 25 minutos esperándolo
398,@titabobra aquel señor amigo suyo hizo un numerito hoy de esos que le encanta hacer. Otro día en que la ginebra empezó a fluir temprano!
399,"@Mausaga vieras dolor jure nunca más volver a ese lugar, queda en PZ para los interesados"
400,"@Oski_1991 Si o sea, el cel no me interesa tanto pero las cosas que tenía ahí eran irremplazables Gracias por escribir."
401,"Senasa NECESITA casas cuna, apúntense no hay suficiente presupuesto para todos los animalito afectados"
402,9 horas de que se fue del pais y ya la extraño
403,@jaoc03 que buena fiesta se pegaba uno
404,"Hasta ahora me entero de que existe la carrera de ""investigador de animación japonesa"", he desperdiciado mi vida"
405,"Hoy hice el gol de mi vida, perdimos 8-1 pero hice el gol de mi vida"
406,"Le envié una foto a Ignacio y me dijo ""Que picha más fea"""
407,@Tia_Yeye @Jacko_Pinto no sabia que eran pareja.
408,La lluvia definitivo no me tiene piedad cuando ando en bus
409,@rebsvargas Un masculino adulto que es fanático obsesivo de My Little Pony
410,@UnZorro88 a mí me gustan de hecho
411,@malamujer Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo
412,"¡Hoy habrá nuevo campeón!, que pase lo que sea, que @MagnusCarlsen sea campeón o que @SergeyKaryakin pierda #CarlsenKarjakin"
413,"Pero en realidad soy mucho menos amargada, maldita y juega de viva de lo que parece. Lo prometo."
414,"@bichoclarke leí el post equivocado aparentemente, me salieron los diseñadores snobs en mi feed"
415,@andrearivl me voy a morir quiero verlo en vivo y tigo no tiene CBS
416,Pues que dicen que hubo #temblorcr y yo ni me di cuenta porque pasamos ensayando típico.
417,"@kathysjo excelente, que grande que está"
418,"Quiero demasiado el balde de pollo, cebolla y papas fritas de la Papería. Alguien lléveme"
419,"#MisPropositosPara2017Son buscar un mejor amigo, necesito a alguien!? nadie?"
420,"Que enfermería tenemos, Gareth Bale se podría perder el clásico"
421,@titabobra A mí jajaja y veame aquí con los ojos pelados
422,@viborildasigue Abrazos para ti desde aquí Vibo ¡Ahí estaré y listísima para grabar la entrevista!
423,@solucionesong ...genial iniciativa que nos puede ayudar
424,"""ESTOY HARTA DEL SEMESTRE "" -Yo, sábado por la noche, resolviendo integrales para encontrar áreas."
425,el amigo secreto de hoy trajo un delicioso arroz con leche
426,"El primer capítulo de la primera temporada de Black Mirror es bien pinche triste, wey."
427,"@marioredondo @ingenieractc no da igual, yo soy funcionaria pública y no todos pensamos así."
428,"Me siento tan sola por las noches, que duermo con Pariss en la cama de mi hermano"
429,@AleArguelloF ojalá sigan juntos mucho tiempo
430,@somekindofEdu pero pensé que luego de jugar juntos todo iba a cambiar
431,Ojala tuviera netflix como en los viejos tiempos.
432,@GaritaCRC ¿Y para que me tienes a mi? Son momentos y nos montamos un canal Re-Pichudo
433,Puedo soñar ridícula pero si lloré porque @smilinglybybau se fue
434,@GuillermoBarqu1 Carepichas esas solo piensan en ellas.
435,Es una verdadera ver que los videos mas caca tienen mas apoyo que los que costaron
436,"@eldiariodedross Mandale un saludito a Jonathan Duarte que esta en el hospital pasandola mal con una operacion, y solo ver tu videos"
437,@andrea___cr @ccssdecostarica Ufff... hay una discusión enorme sobre esto. La Clínica Mayo dejó de hacerlas por años por los resultados
438,Porque si estaba bien me tiene que dar calentura de nuevo ??
439,"Lo peor fue que nos encontramos en un bar, y no le pude hablar x mi timidez"
440,@twocannn a mediodía? La próxima no lo dude! Aunque me vea serio yo soy un carajo buena nota!
441,"Ya mi relación no es lo igual con Davi, ella me pierde"
442,Primera vez que David cena en mi casa y quiebra un vaso.
443,"@Jorge_Rivera8 la del mio peor, tengo que andar con dos telefonoa para poder revisar tw, fb e ig"
444,"@tsaitami Descubrir qué somos está pichudo, diría el patán"
445,Les juro que lo stalkeo y mi instinto asesino se activa.
446,¡También tenemos tradición #costarricense! Por supuesto! #Cajeta de leche con almendras! La más rica de todas!!…
447,Lo bueno de verano es que en el grupo hay varios compitas
448,Las tenis blancas no se usan todos los días
449,A mí en serio esas cosas de ganar no se me dan
450,"soy la mejor amiga secreta de la vida, quiero el regalo que voy a dar"
451,"Hoy será un día muy largo, y mi último día siendo un pilluelo de 21 años"
452,Me iré a dormir sabiendo que la única app de manga con la que leo no tiene actualizado ons
453,Esperando que sea un buen jueves por la noche
454,"@arlynerl03 Y si me corrigen es como... ""Trágame tierra y llévame directo al infierno"""
455,@estabarca fijo si me gusta hago lo que hice con el episodio VII... fui al cine 5 veces
456,Me encanta la olla de carne pero no me gusta que por ser sopa no me mantenga llena bastante tiempo
457,Podría pasar un Día entero viendo sólo mejengas.
458,Si se desesperan nos lleva puta
459,Que triste cuando uno anda en una actividad y no tiene con quien bailar me veré muy rara bachateando sola en media pista ?
460,"@franky2055 que dichoso ya casi terminas, yo apenas voy por el 85 jaja"
461,@meel_solis estamos en la misma lucha
462,@ysareth LA delicia! Mi mamá casi no me deja meter a los gatos Pero les encanta dormir aquí cuando pueden
463,"Por dicha solo me volvió a ver y siguió durmiendo, pero me dio lástima"
464,Yo me quería graduar con la camisa rosada
465,Y si comemos crepas con una bebida de café O un smoothie Hoy habrá feria navideña y nuestra Esparza se pone d…
466,No he visto el nuevo episodio de #TWD
467,Buen día @adruari ya le seguimos
468,@MauHCorona Lo normal es aburrido.
469,FAV si crees que me gustan los penes (como no soy famoso y nadie le va a dar FAV pues tendre la consciencia limpia)
470,Hoy me di cuenta que mi crush ya tiene novia y es mucho menor que yo
471,Odio que me cambien mis planes por comodidad de los demás
472,@Izzytica @Unodien regla de los 3 segundos
473,@Chuletta diay. Estuvo bonito. 5comentarios
474,"Men @RedstoneKnarias no nos eliques mas de porque pierdes, porque a nosotros lo unico que nos importa es divertirnos viendote jugar."
475,Ya estoy estresada de esperar resultados
476,@Prifv @kabek no hemos ido a la cabra loca
477,Me llena demasiado ver tanta gente con la intención de ayudar y moviéndose que lindo todo
478,Mi mamá sólo decirme que estoy gorda
479,@mary_robre asi que ahora tenemos una posible nueva carrera armamentista in the making
480,"Sopa Negra, opción plato fuerte en la soda. Dios sabe como reconfortarme después de las noticias agobiantes"
481,@natyrodriguez Demasiada decepción con la humanidad
482,"@avargas10785 yo te salgo de eso, yo es por luchona y que me elotan en el work #lindaperopobra"
483,Cuando yo vi al Pipi aquí en la conferencia de prensa casi lloro como ese niño Pero solo estaba ahí temblando
484,"@chrchaves jale, traidor, vendido a la corona española!"
485,@grassengel no podés tener lo mejor de los dos mundos
486,"A la gente buena, le pasan cosas buenas ... al resto a veces también nos pasan cosas buenas"
487,Nunca me he ganado nada con @PizzaHutCRC y que chuzo sería probar la nueva pizza esta tarde liberiana está como para la Crown Pizza
488,Desde el jueves pasado estoy esperando el entreno
489,Jaja Trump en los primeros 3 meses se va a traer abajo el TLC nos vamos a ir todos a la mierda
490,"No estaba muerte, andaba de parranda! Jejeje"
491,@FexCR ufff una cosa deliciosa!! Jajaja Que desorden ! Metí las patas ser feliz Fexito!!!
492,Como cuando soy muy chineada y me traen almuerzo al trabajo  Gracias @Antrckstr
493,"@MauFonseca11 @FexCR el otro muchacho que es nieto del señor de las galletitas, siempre tuvo una dulce navidad"
494,"Otra vez quieren desnaturalizar el tema #BienestarAnimal, dejando en el texto de iniciativa popular sólo a perros y gatos."
495,@LauraPausini y su canción: Se non te #VIDEO Publicado el 10 Nov del 2013 y aquí te lo compartimos
496,Me siento tan cansada y saber que salgo hasta las 6
497,Estoy toda estresada para el examen de mañana como que si lo fuese a perder jaja Pero ya pasé el curso y todo
498,"Me acaban de confundir con un estudiante universitario... es el mejor ""buenos días"" de todos"
499,"Ocupo el viernes negro para ver si me compro un tele, el mío se dañó"
500,"Mis primos se fueron para cancun hoy, adivinen quien no fue por ser la unica -18?"
501,He pasado toda la mañana metida en Google Maps viendo Costa Rica. Pero no hay Street View.
502,"Me encontré una tarjeta pegada en el cajero y llamé al banco para reportarla, la dueña puede estar tranquila #whatgoesaroundcomesaround"
503,@La_Llama_ @DosPinosOficial tengo que probarlo. Estoy decepcionado. Ahora el fresco leche sabe a puro sirope.
504,"@nitamar26 @PizzaHutCRC el problema que ya no hay 2x1 en grandes ni tampoco los puntos Hut, son dos pésimas noticias"
505,@absa_lon tenga paz bonito que en esta vida Todo Cuesta.
506,"Necesito un gato en mi vida así como YA, tengo que convencer a mis papás"
507,"@Juanjo90 @CataSolis20 Eso Juan, lleguenle, va a estar divertido. Mucho gusto Cata"
508,Para navidad voy a pedir que me suba el ponderado.
509,Yo debería estar dormida y no bajo este largo ataque de ansiedad de baja intensidad
510,Qué triste ver que el odio por una mujer esté por encima de la razón
511,@BreNdiiuXx @BaldiHotSpring1 ya se no quería salirme de las aguas termales mañana voy a Monteverde a ver que tal
512,Que viene Nonpa y fijo es para mayores. Ya lloro.
513,"Tengo que aprender a no prestar mis cosas, porque al parecer a todas se les hace muy divertido nunca devolverlas"
514,Que dicha que me vale todo lo que todo el mundo diga
515,Ahora tengo que dormir llena de repelente
516,No sé ni qué leer para tratar de entender lo que va a pasar. Todas mis fuentes usuales fallaron
517,"El Turrialba me odia, en definitiva, es el milésimo ataque de asma en el semestre"
518,"@iMCZC Ay, no me diga eso, todo es posible aún."
519,@jdclarke y que el mae no sea tan desastroso como aparentó durante la campaña. Hope is all we have left
520,"@soofpe06 JAJA y ya ni eso, porque fijo no nos dejan entrar jajajaja"
521,"@m_elinna jajajaja yo pensé que había captado la indirecta pero si, está vacilon el avatar"
522,¡Ya tenemos ganadora! Felicidades @IsabelGarbanzo Nos hablamos por mensaje. ¡Gracias a todos por participar!
523,"PSC / PSOE, Podemos / Izquierda Unida distanciados, jeje!"
524,Hoy tuve un día muy lindo me chinearon mucho 2 amigos y el jueves uno que amo mucho.
525,"@valeub25 pues sí, sé lo que se siente. Pero piénselo como el último esfuerzo, que ya ahorita llegan las vacaciones"
526,@gabrielselva_cr pura vida. Ya llamé pero fue como no haber llamado.
527,Estos días me he soñado con el accidente varias veces Increíble el trauma que generan estas cosas!
528,Me siento tan feliz esta semana cerró bien
529,Cuando cuando estás taaann cansado que no podes dormir
530,"Díganle a Hellen que la extraño, odio estar sola"
531,Tan sólo es un mal día no una mala vida
532,No puedo entrar a mi servidor!  y site5 no reponde
533,@charito_garcia_ Pues es un buen momento para hacerlo!
534,@silviauc_cr charita que ya no canto igual
535,"Hoy tenemos la sección ""De su propia voz"" y es por parte del grupo @limite21 ¿Qué nos contarán? Descubrílo en…"
536,Alguna película tuanis que este en Netflix que me quieran recomendar ? #GenteQueNoCoge
537,La vida es demasiado corta para seguir las reglas...
538,"Ayer descubrí que no soy amargada, en realidad soy preocupada."
539,Acabo de tener una idea formidable que involucra a @tsaitami y por eso le mandé un correo
540,"Decirle a un mae ""perro"" es una ofensa para los pobres animalitos"
541,aw Tae lo que daría por poder abrazarte
542,"@fabriziobarth lo siento mucho. Pero si Facebook lo dice, es cierto. Sentido pésame..."
543,@Edurraiba es lamentable un tema tan sensible jamás con ese enfoque
544,Esa lagartija tiene que haber estado muy enamorada de mi perrito. Canta llamándolo a la misma hora a diario y él hace mucho se fue
545,Que duro iniciar el día con noticias tristes
546,"O mejor que me digan ""vamos a comer un helado"" y ya.. Ocupo salir"
547,@karlillag Es muy duro para un niño verse forzado a ser parte de esos procesos
548,"@Fressia_Montero ¿por qué ? ¡Tenés 9 días, actividades y muchas películas disponibles para asistir!"
549,"@MedioEnSalsaCR Por supuesto que no le importo a nadie. Soy hombre, eurodescendiente, heterosexual y católico. cc @titabobra"
550,".@FannyLu dice que ""Llorar es una locura"" ¿Que opinás? Si decís ¡Sí! entonces a cantar"
551,@Jaspn_ Yo voy de fijo. Ahora llamo a reservar
552,Hola me complacerían con #ParaOlvidarte de @MauYRicky por faaaaa Saludos desde Liberia @azul999fm
553,Hola me complacerían con #ParaOlvidarte de @MauYRicky por faaaaa Saludos desde Liberia @lamejor991fm
554,Hola me complacerían con #ParaOlvidarte de @MauYRicky por faaaaa Saludos desde Liberia @OK1055FM
555,Hola me complacerían con #ParaOlvidarte de @MauYRicky por faaaaa Saludos desde Liberia @radiocientotres
556,"@melangelesvc Ni tamales, pierna, ""fresquitos"", queque... nada!"
557,"Y en el café sonó ""Son Inú"". Y hasta los que estábamos sentados, nos meneamos"
558,"Malparidos! Malditos! Malnacidos! Ya hay carta de Lillie en ""Full Art"" y todo y de Serena nada"
559,@gbviquez yo quería que me dieran la bcr así
560,"@TutzyFF jajaja que bueno verla anoche, que pases un excelente día"
561,Él se ha ganado un lugar especial en mi corazón.
562,@fabian05_p perdida ya no tomo coca.
563,Quiero que en serio me paguen para poder irme a rayar la otra semana
564,@XiniaCH Xinia de mi vida tenía toda la intención pero se me hizo imposible al final del día
565,Amanecí lleno de la comilona anoche en el #BNOpenHouse ...pero siempre hay campo para más . A desayunar
566,"¡Buenos días! Con o sin gripe, hoy se disfruta el día."
567,"@AzulAlytaSoy nombs cuál tercera. Yo voy a muchas actividades de @bnmascerca en el año, ya van más de tres"
568,Necesito unos tacones negros a las ya
569,@Linnjimenez y uno se pone triste cuando no quedan papas en la bolsa.
570,@SoulsTRK @youcaring ¡COMO QUISIERA AYUDAR! Pero no puedo soy menor y no tengo tarjeta y mucho menos dinero si tuviera ¡le daría todo!!
571,Hoy llegué 50 minutos tarde a clases. Fui literalmente solo 10 minutos. Duré 2hrs35min llegando a la U.
572,La segunda temporada de Fuller house me duró 3 días.
573,Estos serán los dos últimos shows que bailo con mis minis bboys.
574,"@gabrielselva_cr Ah no, es en el Auditorio Nacional. Hasta el próximo año en Marzo jaja"
575,"@afranchesqui @marhegu Sí, también he leído quejas en twitter sobre la interacción social en los buses."
576,Estaba durmiendo tan ricooo jaja que cólera que me dio cuando me despertaron
577,"@Ana_AvilaM hmmmm no sé, aún las siento pegadas en el cielo de la boca"
578,@fersalas2205 Yo igual no trabajo el 26.
579,@cotarola No salí. No puedo manejar: Migraña
580,Necesito ir a mi hogar y dormir con mis dos hijos peludos y Kabek y su gripe
581,"Porqué terminaba contrato, ya ví seguro se fue solito"
582,Me hace sentir tan bien al ver a mi ex y no sentir absolutamente nada por el
583,"En definitiva! Me quedé sin campo para ir a Tacares, ya que me había mentalizado y ya hasta quería ir #percebe"
584,#YSF2 @MundonickLA La mejor serie en todo el mundo !!!
585,Será que en serio alguien puede dormir tanto
586,@SanzZeriTica y qué? No será la primera vez
587,@wkCArlos yo soy igual Jajajaja trató de evitarlo pero no lo logro
588,Que buena vibra me transmite @Cocofunka
589,Adquirí @semrush_es para un sitio que abarcara 10 países y hasta el momento me ha parecido una excelente herramienta.
590,"Un País tan afectado como Haití, necesita del mundo entero."
591,"@DraHongo y son adorables, pero diay... Ya no hay nada que hacer"
592,@solounrobot @TVyNovelasMex ¿Será solo digital entonces? ¡Perfecto! De verdad muchísimas gracias Un abrazo desde Costa Rica. ¡Pura vida!
593,@jevs_ Acabo de llamar y si tienen! Muchísimas gracias
594,Cuando hago desordenes con el horario de la comida me agarra un dolor de cabeza permanente
595,"NUNCA dejen el Snapchat abierto en el celular de la mamá, creo hoy duermo en la calle"
596,Creo que tengo una contractura en los hombros así o más hecha picha?
597,#superluna eectativa vs realidad. Gracias • • • • • • • #crc #puravida #costarica…
598,"@ESPN_FDJ Soy de CR estudiante de periodismo me encanta el ámbito deportivo los admiro y sueño con conocerlos, porfaa? #FDJPuraVida"
599,Si la U cerró todo... entonces yo estoy libre hasta el lunes
600,"Que bonito, la lluvia regresa cuando me toca ir por mi Hermanita al Kinder"
601,Alguien tiene algún contacto que haga queques navideños?
602,ustedes saben que mi vida se basa en vistos.
603,Se lesiona Bale antes del clásico
604,@cris525cr que todo les salga muy bonito
605,"Sin Morata, Kroos, Bale y puede que aún sin Casemiro para el clásico"
606,"@francellabrenes Rajado, y mientras llega acá"
607,@funfillegamer Soy muy malo funfi me da pena y todo
608,"Mae eso si es cierto, ahora nadie (la mayoría) busca tener algo serio"
609,"11.46PM y tengo hambre, mejor me acuesto ya por que la panadería está cerrada"
610,@isamarsanchezg Antes era más seguido Saliamos por batidos de maracuyá
611,@AndreaVasRo Lo es. Sin ningún respeto al dolor ajeno
612,Badilla era tan tan guapo que sentí feo cuando me di cuenta
613,Yo si que odio recibir noticias así
614,Ay la canción de tercer cielo
615,@welcometofridda jajajaja ya en serio me haces falta
616,@Adri_hdezv Bby muy duro la verdad
617,"@AndreaVasRo @vulturgryphus Otra decepción... (me estoy haciendo la víctima dramática, obvio)"
618,@MaryMatamoros Éxitos y buena vibra en el recital!
619,Que pecadito la gente afectada por las inundaciones
620,"tengo como 10 horas de estar mareado y con ganas de vomitar, ya esta bueno verdad."
621,"@titabobra exacto, qué colera me da eso"
622,"Mi mamá me dice que no vaya al colé, en serio que la amo. Pero tengo que ir"
623,No mames lo triste Gabriel Badilla y por el corazon! El miedo que me dan esas cosas.
624,Lamentable lo de Badilla... un sentido pesame para sus hijas que se quedan sin papá
625,"Oído en McDonalds ""el mejor mannequin challenge que he visto hasta ahora es el que ha venido haciendo este gobierno desde hace dos años"""
626,Maldita lluvia me mata mi negocio. Así nadie quiere bañar ni sacar a los perros.
627,Veo que sí la depresión tropical se convierte en huracán se llamará Otto. Que comience el MemeFest!
628,"Hola, @latrwn1. En este momento no lo tenemos, pero como siempre: queda encargado para el próximo pedido"
629,"El tren cada media hora es un mito urbano, no ha pasado el de las 9"
630,Lamentable informan que murió Gabriel Badilla. #RIPGladiador
631,Yo sí lo sentí y me lleva puta
632,"Hola, soy Sole, el sismógrafo humano"
633,"@ushcala que bueno, claro que si, envíame tu dirección de correo por DM"
634,"@AnDiGu Hola, me dijo que estaba bien, fuertes aguaceros y mucho viento pero todo bajo control. Gracias por preguntar"
635,@moboza pavas igual y no nos.dejaron irnos a la casa
636,"@rafa514x excelente, estamos muy atentos a tus comentarios"
637,@_AlejandroDP no estoy en la zona roja
638,Juro que el próximo cuatri busco aparta con alguien no puedo con esto de estar sola
639,@ekallestad qué bien suena una nórdica hablando en argento
640,En Heredia ese temblor se sintió leve pero horrible
641,Quiero una caldosa y un granizado.
642,Uri por cobarde se fue en la colada. #moisesylos10mandamientos
643,"@Erito0513 Shi, pero como el año pasado no jajaja ah creo que no fuiste"
644,Otro terremoto y otra alerta de Tsunami para Japón.
645,desde hoy en la pura mañanita no veo a mi papá
646,@valegarrou jaja es lo menos que hago por dicha pero si paso pegado a FB
647,"Exijo un beso como el de Carl y Enid, que lindoooooo. Wtf #twd"
648,Los anuncios de TV de posgrados de mi alma mater son tan malos.
