|Content|Sentiment
270|Mañana tengo que ir a visitar a mi primita hermosaaaaa|P
271|Claro @SarahnChile El networking y creación de contactos siempre ayuda para futuras oportunidades de negocio y trabajo|P
272|@candetinelli veo que me desactivaste los comentarios en las fotos de instagram ... Yo igual te quiero Lele|NEU
273|Jessica me hiso cambiar el perfil de wspp -. Y poner una foto con ella|NEU
274|@Natt985 #ViernesDeComidaChatarra en mi laburo es así|NEU
275|mi hermana es mejor que la de todos usteedes jeje|P
276|Agustín marco mi vida, la cambio por completo y eso no me lo voy a olvidar nunca, GRACIAS|P
277|@__josejuan__ @jneira suponiendo que la terra este cableada en el tomacorriente de la pared|NONE
278|Cuando yo intento creerte te burlas y mientes de nuevo|N
279|@BrunoVuan Vos sos mucho más eerto que yo. Yo soy solo un amateur (pero convencido, eso sí).|NEU
280|Aveces siento que no le caigo bien a mis seguidores ,aveces son tan negativos y malos|N
281|@LaloCosta96 Esta bueno que cites el tw, porque cuando ella entre sabes que va a entrar a tu perfil y va a ver esto|P
282|ahora q se terminó #GilmoreGirls hasta el 25, le meto a #Bones... porq siempre es necesario estar mirando algún capitulito|NEU
283|@AdictosLali muyy No sabíamos el gran valor de compartir esos momentos tan lindos...y ahora, nos queda solo el recuerdo..|N
284|Creo que soy la única que nunca se ganó la entrada para jaque jaja|N
285|toy enamoradaaaaaaaa que ovy a hacer con tanto amor para dar cuando mi novio ta re dormido ?¿ matu ven a mi|P
286|@Criya59 que lastima me lo perdi ,esta mi hijo mirando tv y mi internet anda malisimo para poder ver el programa en la compu|N
287|@DanielaPirezFie @jnmet La foto está excelente, pero no se puede creer todo lo que se lee en las redes Espero no haya hecho mucho daño.|NEU
288|Me acabo de enterar que @zotero ahora tiene free solo 300 MB y hay que pagar por almacenamiento|NONE
289|@Alphasniper97 amigo... soy de uruguay... la verdad que aca es complicada la economia.pero de llegar a la ps4 espero cruzarme en batalla|NEU
290|Extraño mucho el parque de ute|N
291|@cuervotinelli PAPÁ ME VOY A DORMIR UNA SIESTA ASÍ DESPUÉS TE VEO A LA NOCHE, tu nieta está en mi cama toda despatarrada ...|P
292|Hola @cminana ! ¿Qué tips darías a los freelancers que quieren capacitarse en #SocialMedia? ¿Qué herramienta/curso online recomendarías?|NONE
293|@eljabavinero @Jonatute Ojalá lo encuentres o que por lo menos lo haya agarrado una familia que le de amor.|P
294|@grisel_ok si hermoso y esta muy agradecido|P
295|@mister__lemon Tenés que conseguirte un estudiante y ponerlo a hacer una Tesis sobre Twitter (en la FCS de ser posible|NONE
296|@amartino mañana sobre que vas a hablar? Sobre los puertos de la nueva MacBook pro.. ?|NONE
297|@ToiaMignone busca un tutorial...si no hay es xq no se puede! para mi muy elevada la pregunta|N
298|lo peor de salir a las 7 es no disfrutar el dia|N
299|@MartinParedes90 No hay necesidad. Hay un par de trucos que te permiten verlos. Claro q para eso te tiene q interesar @mister__lemon|NEU
300|Da en la vida es facil|N
301|@FSOGArg @lulopilato @michaelbuble Es muy triste... Yo me enteré el jueves de noche, en Argentina ya se sabía..|N
302|@cyberplant no es esa. Pero ves? el pin más común es un montón de tiempo para un café.|NEU
303|Disfrutando en Uruguay...Ahora esperando a que empiece #LoMejorDeOT en tve internacional|P
304|Lo bueno de vivir con dos hombres es que el acondicionador dura mucho mas|P
305|Un dinosaurio entero me comeria, morire de hambre, oh dios no lo permitas, soy muy jovencita|N
306|@gabouy pero antes si era asi es parte de nuestro barranca abajo haber perdido eso|N
307|Tengo que reconocer que es imposible que Lio me conozca o leea algun mensaje. Y eso me pone espantoso|N
308|Todos son retwitteados y yo nunca|N
309|El miedo que generó fue impresionante.|N
310|@Lascosas690 EXCELENTE lo de Axel contando como se termina con DELINCUENTES en fútbol. ¿Cuándo repiten programa para grabar y amplificar?|P
311|"@J_B_Rodriguez @mariansugarci Que nos pasen la ""fórmula mágica"" así hacemos lo mismo!!"|NEU
312|@lorenacionaaaal jajaajja soy mas bueno aparte lo que yo haga o deje de hacer no tiene nada q ver con la persona que este jajaja es chica|NEU
313|@Nicolasalvarez0 @pmhvega si votó en Blanco o Nulo le terminó regalando las mayorías parlamentarias al FA|N
314|90 oye, tu me caes de 10! jajajajja tu nombre me dio ganas de escribir así no se pq. La mejor con vossssss|P
315|@SanchezMassi me parece que queres perder feo|N
316|El asesinato nuestro de cada día... Pero, eso sí, Vázquez está muy contento con Bonomi.|N
317|@Librumface Para trazar estrategias suele ser necesario tener una razonable seguridad de para qué lado va a patear el contrario|NONE
318|Encima tengo muchas fotos juntos|NEU
319|@afigue2010 muy divertido @martinbossi en @desayunos12... humor y espontaneidad... de los más talentosos de la vecina orilla...|P
320|mis dias ya eran reeee aburridos, imaginate ahora sin celular|N
321|Enere sociología con 11 jajajja va a ser la única en todo este profesorado de seguro ! re feli|P
322|"Ah 8 Personas Le Pregunte Que Me Hagan El 2 No iban a pasar mas de 1 hora y media pero Ta Nadie ""Puede"""|N
323|De mañana hasta el miércoles estaré de campamento, así que perdón si no respondo el MD, estoy inactiva, etc. Es que no dejan llevar compu|NONE
324|Ganas de pasar todo el día acostada como ayer me sobran, pero tengo clase|N
325|@Malabrigo25 Las sorpresas de Pandora no eran muy agradables; yo, en cambio, sólo doy sorpresas agradables|NEU
326|@QuemasDePasto es el autor favorito del Seba, bo! más respeto!|N
327|@beeeel12 hubiera ido igual podía hasta las 4|NEU
328|#AbrahamMateoEnUruguay @AbrahamMateoMus Va a ser 4 años que soy abrahamer, y ni siquiera lo pude abrazar. Que triste es mi vida|N
329|Col siempre me gana en las discusiones de bobos que tenemos, eso confirma lo boba que soy ja|N
330|@JulianeroSoy no te amargues ojala que aparezca y si no bueno|NEU
331|@RufinaCamejo Comprando ropa en el barrio chino en Los Ángeles, ni inglés hablaban @dannyviLe|N
332|lo que daria por darle un abrazo a mi vieja|P
333|@Alfredo_Bruno Lo que es no saber... es la herencia maldita de mis padres que querían que estudiara algo útil|N
334|@Alfredo_Bruno Mi formación científica me hace ver un vaso inadaptado a la realidad|N
335|@mister__lemon Me parece que está prohibida la importación. Debe ser como la marihuana. Podés usar pero no comprar @progresismouy|NONE
336|@mister__lemon No sabía que los cigarrillos electrónicos estaban prohibidos @progresismouy|NONE
337|.@macielguillermo Guillermo, avisale a las Naciones Unidas que dice Bonomi que los datos que dan están equivocados|N
338|@gbudino @cutcsaok @Dmartinez_uy seria interesante que Cutcsa entonces libere sus datos, que en el fondo son de todos|N
339|Aunque intento no ver todos los episodios seguidos porque ya se acaba|NONE
340|Tengo el labio cortado a la mitad el de abajo|N
341|@mister__lemon Seguro que tiene un sólo pulmón, como todo el mundo.|NEU
342|@federicod Es posible. Quizá en realidad es la tendencia de la derivada segunda. La polarizabilidad de la seguridad|NONE
343|¡Llegamos a los 8000 seguidores! Gracias por acompañarnos en el camino del trabajo independiente. Sigamos creciendo juntos #freelancer|P
344|@AntoTamilia @Uber_UY ajaj como esperaba tu comentario, parece joda, no es lo mismo de antes?|N
345|@alvrod Nunca apuesto cuando la probabilidad en contra mía es 1|N
346|@Vecort1577 O en la misma al otro día|NEU
347|@grazianopascale Sí, es increíble lo que está diciendo. Incluso que su gestión se compara favorablemente con la del FBI @LeoVeigaSanchez|N
348|@alimarve Trasladarte en coche con chofer, tener guardaespaldas y ganar un excelente sueldo ayuda @federicod @LeoVeigaSanchez|P
349|@UruAlejandro Me dicen por la chicharra q Obdulio en el año 49 hizo una huelga reclamando dchos de los futbolistas. O sea, segunda vez.|NONE
350|@mister__lemon Excelente idea. O, por lo menos, que no pudieran hablar más de una hora|P
351|Bonomi esplendoroso en su ejemplificación personal del índice de Dunning-Kruger|N
352|Hoy hace un mes que están juntos. Cuanto los extraño,pero están en un lugar mejor|NEU
353|Los verdaderos hinchas de #Nacional no perjudicamos nuestro club, no insultamos adversarios. Alentamos a los nuestros, eso #EsNacional|P
354|¿Qué tipo de proyecto de diseño es tu preferido @Marinachan555 ? #DíaDelDiseñadorGráfico|NONE
355|@gustavohlopez Cebolla que use nuestra camiseta celeste abajo de la roja y uds. compren camisetas de los cuadros europeos para todos !!|NEU
356|@2891891cap aaaaaaah bueno algun dia igual te vas a anotar en la mia vas a ver. Ya voy a caer con tacos de 30cm|NEU
357|@letifcosta yo salía viernes sábado y domingo ! pero ya esto muy viejo pa esos trotes !|N
358|entonces si estás así es porque querés, xq sino queres me escribis y liiiiiisto|N
359|@smallxespos ay que linda q soss, vos iguaal!! Es una bebita lo q pasaa, mi user es el apellido de Axel y Celeste|P
360|Alguien que me hable porfa, no me quiero ir a dormir|N
361|Paaa en las imagenes de los que entran a declarar hay uno que se re parece a mi compañero me muero firme|N
362|@elojodeava 1cm es margen de error!|NONE
363|@elojodeava Basta balalaika, enseñanza laica viña etrusca añeja. La lleva o la deja. Si no es la que busca, plástica katiuska|NONE
364|Te banco! Jajaja no estoy enojado contigo ni ahi te quierooooooo @AgustinINeedYou|P
365|Que bueno cuando terminas el día pensando: que bien me salio todo! chin chin por muchos días así|P
366|@sara17almada @p0nja jaja hay que andar siempre limpito y arregladito por las dudas !|P
367|Que deje de llover que yo estoy solo|N
368|@PabloCardelino ¿Esto es joda? Espero que lo que suben al camión sea distinto de lo que descargan @LeoVeigaSanchez @JMilei|N
369|@LeytonLujan @TipicaLoca @javielmast cuando era chico mi mama me mandaba al almacén a buscar 3 cosas y me olvidaba de una seguro ...|NONE
370|@cuervotinelli Papá estoy muy contento !! , voy hacer el curso de producción televisiva que dictarán @elchatoprada y @hoppefede , besos!!|P
371|no puedo entrar a terra|N
372|Hoy pasamos re lindo con la chicas, jugamos a las cartas hasta re tarde y nos morimos de risa|P
373|@sermex2006 ¡Hola! Hay más criterios que el puntaje únicamente Eran 10 preseleccionados para votar entre el público. Saludos!|NONE
374|@letifcosta @perezfedullo traduciendo es un imbécil !|N
375|@nicomarone @salocinuy algunos llegamos a ese resultado después de un arduo trabajo y consulta previa con calculadora !|NONE
376|@nicomarone @salocinuy aprendido y archivado ! después salió otra del mismo tipo y fue fácil y otra de otro tipo pero básicamente igual..|NONE
377|Se dan cuenta de que en 3 meses cumplo los 20? estoy vieja loco|N
378|estoy muy cansada y muy mal como para estar hoy en twitter|N
379|Estoy re triste por el Cappelli|N
380|@MhBazzino10 Hola María Helena!!! Muchas gracias amiga. Mañana iniciamos con mucho gusto con la info desde aquí. Abrazo grande|P
381|@GuilleT @Improfit Hola! Estamos trabajando para sumar opciones. Podés recomendarnos restaurantes!! Saludos!|P
382|@Loquilla_Si sip! Me estoy manteniendo ocupado|P
383|@soyvedito soy una mierda egocentrista, sin rumbo fijo en la vida, que no merece mucho o casi nada... etc... ufff sono bien desahogarse|N
384|@TipicaLoca yo no me pierdo nadita ! ahora es formal ! en la mañana veo todo del cel pero no contesto ni subo nada !|NEU
385|@decanoypadre escuché bocinazos y no había empezado la jugada|NONE
386|@Reirtesalvaaa pero ni me conoce, aparte siempre me hablan los peores|N
387|Santiago no me hablo nunca más lo extraño|N
388|@Jullgallo no podes verlo por Vera+..? que horrible verlo sin relato uruguayo!|N
389|@sara17almada1 feliz cumple sara ! que lo pases muy lindo !|P
390|@victorita_fest para nada, ya arranque el segundo termo. Vengo de un finde largo, no da para calentarse. Buen dia|NEU
391|@RomanaFerrer Seguro que tienen miedo que llueva y se les mojen los datos|N
392|@victorita_fest te hice las caipis ayer y no fuiste|N
393|@FernandaDhb No tengo ni un peso ahorrado, voy a llorar|N
394|@juanamaro22 Tal cual. Muy difícil que se apliquen otras políticas de seguridad con mismo ministro convencido de que está bien lo hecho|N
395|@jazzaldia amigos deseo establecer contacto con uds. Agradezco me envíen inbox mail, enviaré material de mi musica|NONE
396|Necesito volver a Samsung por más de que iPhone tenga tremendo sistema operativo no me permite ser tan libre como galaxy|NEU
397|@victorita_fest Si, justo ese que comi estaba tremendo. Bueno pasame la dir por interno|P
398|husmeando en terra a ver que se ve|NEU
399|Va estar lindo el veranooo aca|P
400|@Rosua15Ad a la gente le cuesta eresarse en una encuesta ! se sienten limitados...|N
401|Qué emoción! Acabo de conocer al fenómeno @rusomyc y es veterinario de mi Lolo! Preparate para mis consultas cotidianas jeje|P
402|Los pequeños detalles, crean grandes sentimientos.|P
403|@harrycourage fue por una buena causa !! no me malinterpretes|NEU
404|@jeansuarez33 tenemos que disfrutar hoy es rl ultimo dia de cel|P
405|@corosenlamosta bueno... vos lo escribiste, yo lo leí. Me hizo acordar a cosas, mala mía|N
406|@_mariajosee_ Hola, te pedimos disculpas! Por favor envianos tu mail de usuario por MD para que verifiquemos qué sucedió. Saludos.|NONE
407|@kaunistalvi Hola, ¿pudiste cancelar tu pedido? Siempre tenés disponible nuestro chat en la web para consultas más urgentes. Saludos!|NONE
408|Que bueno ver a personas que te alegran Aunque sean sólo 2 minutos|P
409|@mercitextil Te pedimos disculpas Por favor envianos tu mail de usuario por MD para que el equipo de atención al cliente te contacte.|NONE
410|@cuervotinelli Buenas noches que descanses !!,12 días para verte;3, prometo ésta vez quedarme hasta el final del programa así te conozco|P
411|@salocinuy @Agronegocios_Uy creo que raúl no se va a presentar.... por lo menos por ahora !|NONE
412|Recién llego del trabajo me perdí el directo de zelda @juandiazdelgado|N
413|@MHackem @mechibasso Tampoco es para tanto, vienen en pack de 2X1 con vaso incluido y es más costo-efectivo|P
414|@mechibasso ¿el tercer dormitorio es para invitados?|NONE
415|@mechibasso ¡Ugh! Eso fue un golpe bajo. Nunca visto, nunca visto... no... excepcional, único, original, exclusivo... @MHackem|NEU
416|@Adri_tranqui gracias ! que tengas un lindo día también !|P
417|@ebelgeri sobre todo la parte de la nota q dice q hay q pasarsela a los del mismo color, algo q para Uruguay es revolucionario|N
418|@RoSo_54 @Adri_tranqui ya estoy pronto ! la cucha despejada !|P
419|@deejay_madox ajajjaja era de imaginarse, ir hasta allá y no tomar nada es un embole, tremenda joda me perdi|N
420|Caminar no sólo es bueno para la salud Sino tmb para el bolsillo|P
421|@TipicaLoca @vmayo72 hola ! algunos han cambiado varias veces de nombre...|NONE
422|@ToloTelli14 @BrandonLemusV @CaioTeensarta @marca 2 copas del mundo, 2 olimpiadas y 15 copas américas|P
423|@ToloTelli14 @BrandonLemusV @CaioTeensarta @marca y la ultima tuya hace 15.|NONE
424|@cuervotinelli Papá se me esta complicando el trámite ..TE NECESITO MÁS QUE NUNCA.te juro que me siento re solo , quiero una familia|N
425|@TipicaLoca @salocinuy @Agronegocios_Uy dicen las malas lenguas que tiene o tenía el conocimiento para ser licenciado..podría calificar.|N
426|Mi novia me compro un pajarito hermoso y cómo está en cautiverio se loq sido ella en la casa no me lo deja cuidar|NEU
427|@RufinaCamejo Ta, ahora te hacés la superada @claraklayton @RichardRead2014|N
428|Gracias al imbécil que tiró la botella me quedé sin cancha hoy ,mal vos pelotudo .|N
429|@Fanta_Esp @Rubiu5 no soy de madrid asiq nadap......soy uruguaya|NONE
430|me gustaría q acá hubiese fav y corazón, así podría usar el ️ pura y exclusivamente cuando ponen foto de comida|P
431|Enamorarse de la misma persona todos los días, eso es amor. #buenfindesemana @KarinLedl1|P
432|@PalacioYazmina siiii ayer a las 23 en vtv.. Y bueno yo tampoco me vi|NEU
433|Y bueno sera con conducta hoy|NEU
434|duermo como los mejores hoy mañana juega el bolso , me falta ella nomas|P
435|Con todas las minas hermosas que hay, oportunidades cero|N
436|Happy Birthday to the adorable #Dakota Feliz Cumpleaños para la adorable #Dakota|P
437|Mi mejor amiga me está desmejoramigando espero que mary no lo haga también: (|N
438|@grisel_ok a mi y a muchas personas nena ,que pasa ?aunque no nos conozcamos aqui estamos presente yo estoy|P
439|@diegodelacurva , es cierto eso? No seas malo, aportas mucho al programa, se te va a extrañar de verdad|NEU
440|Rompí la licuadora! Genial! Batido a la mier!!! Necesito una nueva licuadora|N
441|@ximerba @tvshowuru @perdidoseter Que no fue mencionado en el artículo ni en los tweets citados (yo lo excluí del Storify a propósito).|N
442|@maxicarroz Hola! Lo armaremos en las próximas semanas y les daremos instrucciones por aquí o por el mail que dejaron en el cuestionario|NONE
443|@kiki_fiore Una vez te lo enviemos, lo puedes subir como imagen a tu porfolio. Aquí @workanahelp podrá darte más detalles|NONE
444|@PaisaVlogs Las mejores cosas tardan en llegar|NEU
445|@ChrisNamus cómo está esa chula cada vez mejor|P
446|@isaacBIOvega @saxmann yo no lo mandaria a prision optaria por otra cosa|NEU
447|"""No hay mejor momento pa' matar que cuando ya te dan por muerto"""|N
448|después 1 mes me entero q a una piba le robaron las entradas para el m&g, ayy pobre!|N
449|@kirazeuss hay nena que tengas un hermoso dia Muy Feliz Cumple ,por muchos años mas ,si Dios quiere|P
450|@ColifaBack @crisacmol @UrtubeyJM @JCanoOK esta ocupado con su flamante casamiento|NONE
451|Uno se levanta para jugar al fútbol y la gente va por la calle disfrazada saliendo del boliche|NEU
452|un capitulito de Gilmore es la medida perfecta para esperar a que la masa crezca...|P
453|@delphlexnie la gloria d nuestro padre jesuscrisro estará cobmigo en mi camino|P
454|@FinealSuarez Es tierno, como un niño amoroso|P
455|@perezfedullo Cómo andás, Moni? Está hermoso hoy, ehhh.|P
456|@fernan_caceres Pedro ni lo conoce al tipo. Alguien que es íntimo de Susana, va en una lista del PN, después en otra del PC, cualquiera.|N
457|@letifcosta importante el compromiso con la comunidad, es buena señal|P
458|@Diegourug grande guiri!!!!! Jajaja estabas en la multitud|P
459|Como me encantaria ir a abrazarla a mi amigaa ahora mismo y decirle que todo va a estar bien|P
460|Estuve apuntó de crermela igual , a Dormir así no me reclama nada después|N
461|@cedrezzz no creo que sea posible, los horarios de mañana me mataron, tengo que salir de una cancha a la otra y luego gpc|N
462|@junchyg16 nùbiles doncellas ?entonces yo me salvo|NEU
463|@junchyg16 Bueno me dejas un poquito màs contenta gracias|P
464|me da miedo crecer.. ya me hago la comida yo me quedó rico igual o_O|NEU
465|Nos fue bien en el parcial , solo nos faltan 4|P
466|@Goberlik @ecos_la Sep. Es necesario investigar pero no justo ahora ¡Qué lenguaje apolillado!|N
467|@LuisSuarez9 Grande Lucho!!! Vamo arriba, es enorme el legado que dejan al fútbol uruguayo todo! Gracias|P
468|Estoy terminando #GilmoreGirls para estar prontita para el 25 de noviembre...|NEU
469|@alem4p buen punto a mi la lectura me llevo a otro lado. Creo que depende de que te dieran a leer|NEU
470|@ChicaDelBidon me siento mi madre cuando no quedaba embarazada y las compañeras de la clínica si.|N
471|Hoy salimos de trabajar y nos vamos, a vergara con el loco maty,a tirar unas curva en esa pista|NEU
472|Que feo lo tuyo pibe..|N
473|@ffanoch @ObservadorUY jaja si el concepto es irregular no asimetrico|NEU
474|Tengo tremendos nervios con la defensa del proyecto de estudios económicos . No me la quiero llevar a exámenes|N
475|mi sábado está siendo lo menos productivo posible, yo ya gané!|NEU
476|No aguanto mas esto quiero estar bien sacarme esto y no tomar mas pastillas sentirme feliz sentirme igual a los demas|N
477|@Loli17 @THR Si me avisaron el otro día acá no creo que este pero estaría muy bueno tenerlo jjijij|P
478|@susanagkp Leí coment de gte q no entendió nada el sentido de estas elecciones y sólo suelta veneno sin detenerse a analizar nada. Agotan|N
479|Hoy es el dia perfecto para ir caminando por la calle mientras les ofreces caramelos a los niños chicos...|P
480|@Solenrivero Buen dia soleee!! LLegue temprano si, trabajo poco esta semana asi que ta, hago un esfuerzo|P
481|Porque la fecha esa tiene q ser justo el día de mi cumpleaños, que rabia y q triste|N
482|@diebamu y por supuesto los bloquee|N
483|@kiki_fiore Los freelancers pueden usar la cuenta básica de @workana que es gratuita y no deben pagar por trabajar|NONE
484|me duele mucho el ojo derecho puta conjuntivitis|N
485|Es una interesante iniciativa @ajbodoc Por ahora podemos hacerlo por aqui en twitter #FreelaOnline|P
486|Necesito urgente ver a Seba|NEU
487|@Rabii_says Están algo demorados pero en proceso ¡Llegarán, no se preocupen!|P
488|@leifermendez En breve te contestaremos desde #FreelaOnline|NONE
489|Siguen con mi caída en halloween pasado loco fue hace un año es hora de #superar|N
490|"Mi ""supuesta"" pariente segun la cabernicola me ah mandado la soli"|N
491|@ajbodoc ¡Armar un buen equipo es espectacular! Tendremos esta propuesta en cuenta en próximas actualizaciones|P
492|@Roberto_Anchia Muchas veces se toma el valor local como referencia y olvidamos que hay competencia internacional #FreelaOnline|N
493|@LeoVeigaSanchez Es cierto, no es su estilo. Su estilo es no comprometerse con nadie y quedar bien con dios y con el diablo.|N
494|Necesito unas tortas fritas de mi suegraaa.|P
495|Es divino y se extraña pero ya fue|NEU
496|Amo saber que en cada segundo de ese homenaje estaba mi infancia feliz|P
497|@BrunaSosa7 @JuaneMartinez17 Ayyy vidaaa. Bueno te dejo juane ya no da para mas. Fue lindo mientras duró|NEU
498|@mariapaolini5 jaja creo que te copio ! son bastante insufribles ! hasta mañana y que descanses !|NEU
499|si no veo a lali este miercoles no la veo mas, tengo tremenda mala suerte siempre|N
500|Hoy era un buen día para que Rodolfo Pereyra no me tenga bloqueado|NEU
501|@mvdsister No seas mala Celina. No te das cuenta que ya sabe dónde lo tiene que llevar?|N
502|@Rabii_says @moiseshg Fue una semana poco feliz para varios sitios online ¿Ya pueden seguir la transmisión?|N
503|@cuervotinelli Buen día Papá !!      :+ TE AMO MUCHO ...|P
504|@nachoabalos si, lo ideal sería q te la llevan a tu casa o lugar de trabajo y de paso que sea en un bondi @ElOjoChurrinche @Dmartinez_uy|NEU
505|Juro que pienso que Glenn sigue vivo como aquella vez y que el y Abraham estan bien|P
506|me tendría que dar igual pero no puedo|N
507|@HECTORYEMMI Feliz Cumple que tengas un hermoso dia ,como todos los dias de tu vida|P
508|@eltreceoficial yo la vi muy bajoneada y tensa pobre @barvelez ...|N
509|Aaa que mala suerte tengo|N
510|@guuatever @LeidiPonzonia Las teorías anticíclicas que todo sindicalista que se precie defiende.|NONE
511|Me gusta sacarle una sonrisa siempre que uno le saca solo lágrimas (y)|P
512|@dannyviLe Es la pelada. Si los estudios dicen que te hace más alto y más fuerte, seguro que también más joven|P
513|@solesalva lo mismo vos ,cuidate|P
514|@diverso_alex no, uruguay son 3 millones, no me siguen tres millones jajajajajajaj vos sos tarado? Te sigo si|NEU
515|@KevinistaOk que egoísta de tu parte decepcionada|N
516|@CataDiaz100 ah nno perdon mejor dormi t va a hacer bien, comete una bananita|P
517|Esta lleno de mosquitos los odiooooo|N
518|Ya voy a juntar pastito y agua para los camellos de los reyes magos|NEU
519|@sergiouy52 lo sé Sergio. La dedicactoria te comprende por supuesto|NEU
520|@AntonellaMombru pq somos mejores y valemos más|P
521|@cuervotinelli @lourdesanchezok @elchatoprada que increíble !! Yo nací hace 36 años y nunca tuve Papá o padrino o algo... TREMENDO !!|N
522|Yo muchísimo mas . Hablamos al DM y te paso él apartado postal|NEU
523|@degeronimi @mercadopago muy bueno felicitaciones!! Se necesitaba|P
524|@grisel_ok muy bien y vos?ando con ganas de algo dulce|P
525|@ZockClient se suman los 2 clicks del mouse y de un click normal de 3 pasa a tener un click de 14 no son macros 2/2|NONE
526|Ya extraño romperle las bolas y peliarlas ya se que me extrañan tambien|NEU
527|#LaUltimaPalabra Guillermo sos un tipo joven, fachero, andá al dentista a que te haga carillas abajo, cuando hablas solo veo eso|NEU
528|me siento una esclava hebrea siempre sufriendo|N
529|@AntonellaMombru si igual si me vas a mostrar una foto no es nada pq prefiero las cosas saladas|NEU
530|Empezó a llover y me puse a cantar esta canción jaajjaja|P
531|me preocupa la flacura de la china, posta. NO era asi de flaca ella|N
532|@GramaticaReal por ejemplo si eres MANO larga jaja|NEU
533|Solo falta que me siga @CaELiKe Porque La argentina ya me sigue y Facu también|P
534|@alejandro_mhr el cine de Irán es de los mejores en el mundo|P
535|@TiaEuge2011 siempre me gusta leer e informarme, por supuesto. De hecho no es q desconozca el tema, pero x supuesto. Gracias.|NEU
536|@MonteroEnzo1899 hola soy joaquin y tengo aire, arre q no me anda|N
537|Si gana Trump que pasará con la bonita|NONE
538|@selectornectar @eskartas un día de estos en que se acueste borracho lo volvemos dejar igualito!|NEU
539|hoy entro un poquito más tarde a trabajar #BuenDia|P
540|pa en esta parte del año me pongo re melancólica, voy a extrañar tanto ver todos los días a las gurisas|N
541|@RissoConDosEsse Te voy a espoliar ahr no ,lo único que te voy a decir es que esta muy bonita, divertida y tiene un mensaje|P
542|La verdad que me encanto el #McDiaFeliz en @mvdshopping Un placer estar presente para ayudar! @mcdonaldsuy|P
543|@freezedolan igual same estoy igual q vos con lo que pusiste el año que viene será|NEU
544|@CAELIFANCY falta poco para tu cumple mi Cami ,te extraño|P
545|@SantyTkd11 subi a la azotea por tu tweet y esta normal|NONE
546|@steinpipe @elgaita @mmacri1 @MarioVa52 Juntos y Rodeados de campanas|NEU
547|"@PALMERPATO Que lindo ""mundo""ése entre la profe de teatroa los 22,23,aue lindo....""nostalgias"""|P
548|Yo tengo él grupo perfecto de 7 chicas para ser IBFs grupales|P
549|Nada mas lindo que agarrarle el auto sin permiso y salir andar jaja|P
550|No tengo cargador que lindo|N
551|@grisel_ok como estas ? yo toda las noches ando por aca nena|NEU
552|#LosRicosNoPidenPermiso todas las parejas juntas como deberían estar menos la de #rafana voy a llorar|NEU
553|"Aparte me siguen las personas ""mas importantes"" de tw"|P
554|@xkidas @diegodechena Te voy a liberar de mí, así dejás de lloriquear y protestar, chilena huevona. Chauuu|N
555|yo no puedo tener rulos ni con las cremas esas, pero me las pongo porque tienen rico olor|NEU
556|@RissoLula niña feliz cumple, que pases lindo|P
557|@elojodeava hay escabio gratis, pero igual dudo, es duro marchar...|NEU
558|@susanagladysfer si discrepa y deja su banca me parecería muy bien, pero así no me gusta, creo q es abuso. Besos, querida Susana.|NEU
559|Creo que lo peor del trabajo es tener que sacarme los anillos y la pulsera|N
560|días de frío = agua extremadamente fría para tomar|N
561|@Chorros_uy Una consulta?, varios community manager están preguntándose como se hace para la denuncia del MI y así ganar más seguidores?|NONE
562|Espero que sea el cargador el que este fallando y no el celu!! Me sale mas barato un cargador que un celular jajaja|NEU
563|Subiría una foto de mi boletín pero es muy mainstream y yo soy único y diferente|NEU
564|@elijuambeltz un canguro GAP como único aliado|NEU
565|@Kanalla10 @negromagallanes disfrutá mientras puedas, q prontito se acaba.|N
566|@_suniac que ya no quedan diseñadores gráficos anarquistas?|NEU
567|@milecorreaa pa bo te juro que no me di cuenta, te extraño enana|N
568|ves esa sonrisa es falsa como tu amor|N
569|@barsacampeon10 Qué horror, la mala suerte de esa pobre niña es tremenda... Pobrecita...|N
570|se ve que no me conocen ni un poquito|N
571|muy sensible esta la gente hoy dia|N
572|no se puede hacer ningun comentario che ,que feo|N
573|Me quiero pelear con alguien y siento que ya estoy grande para andar en bardos|N
574|@NeckoLol Eu necko que lastima el lunes no se si me puedo quedar hasta tarde :u es dia de semana tengo liceo (secundaria)|N
575|@loli_pontes yo me tomé este finde para planificar mi funeral nomas, salí los dos anteriores, si me hubieras dicho antes lo consideraba|N
576|@LovesDalasito uhh que lastima, bueno igual no podia ir a la firma|N
577|Mi celular él táctil esta roto ,entonces después de las clases lo voy a llevar a arreglar Así que pronto podre m…|NEU
578|@NinetalesGD leeel bueno, ahora hablas con mas personas|NONE
579|Intendente #Flores @FEcheverria50 ¿Qué está haciendo para terminar #RuidosMolestos en #Trinidad? Los derechos de TODOS pasados por arriba|N
580|Uruguay es caritativo, nosotros estamos segundos igualmente|P
581|@cuervotinelli el 27 de diciembre tengo mi primer sesión, luego el 11 de enero... NECESITO HACER ESTO POR MI PARA SENTIRME PLENO !!|P
582|@Solenrivero Puede ser, no soy histerico yo, asi que no puedo darte una opinion personal|NEU
583|"La tía se levanto y me dijo "" madrugastes o te caistes de la cama?"" Y ni si quiera e dormido"|NEU
584|Bueno, ya me cansé de poner en su lugar a esos muertos chilenos. Será hasta mañana, amigos|N
